station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGW0,Παρανέστι Δράμας,5,Μακεδονία,24.5,41.3,126
LGK9,Πάργα,6,Ήπειρος,20.405277777777776,39.283055555555556,8
LGF9,Παρνασσός-1950,8,Στερεά Ελλάδα,22.8,38.3,1960
LGK3,Πάρνηθα,10,Αττική,23.7,38.2,1230
LG02,Πάρος,13,Κυκλάδες,25.1,37.0,15
LGT6,Πατήσια,10,Αττική,23.7,38.0,87
LG65,Πάτμος,12,Δωδεκάνησα,26.3,37.2,12
LG0K,Πεζά Ηρακλέιου,1,Κρήτη,25.2,35.2,305
LG2J,Πειραιάς,10,Αττική,23.6,37.9,29
LGX9,Πεντέλη,10,Αττική,23.9,38.0,495
LG6D,Πέραμα,10,Αττική,23.6,38.0,45
LG8R,Περιγιάλι Κορινθίας,9,Πελοπόννησος,22.83277777777778,37.93833333333333,38
LGU0,Περιστέρι,10,Αττική,23.703888888888887,38.001666666666665,55
LGE2,Περτούλι Τρικάλων,7,Θεσσαλία,21.5,39.5,1170
LG9C,Πετρούπολη,10,Αττική,23.670555555555556,38.03666666666666,220
LGG7,Πηνεία Ηλείας,9,Πελοπόννησος,21.6,37.8,184
LGT2,Πλακιάς Ρεθύμνου,1,Κρήτη,24.4,35.2,19
LG3E,Πλατανιάς Χανίων,1,Κρήτη,23.884166666666665,35.51694444444444,12
LG2O,Πλατανούλια Λάρισας,7,Θεσσαλία,22.313055555555557,39.68888888888888,83
LG8N,Πλώρα Ηρακλείου,1,Κρήτη,24.938333333333333,35.01222222222222,0
LG33,Πολύγυρος,5,Μακεδονία,23.4,40.4,580
LGL0,Πολύδροσο Φωκίδας,8,Στερεά Ελλάδα,23.9,38.8,350
LGY6,Πόρτο Ράφτη,10,Αττική,24.015555555555554,37.88611111111111,11
LG9N,Ποτάμοι Λασιθίου,1,Κρήτη,25.5,35.2,865
LGP1,Πράμαντα Ιωαννίννων,6,Ήπειρος,21.1,39.5,840
LG8L,Πρέσπες,5,Μακεδονία,21.078611111111112,40.788888888888884,854
LG26,Πτολεμαΐδα,5,Μακεδονία,21.7,40.5,606
LG2I,Πτολεμαΐδα Va,5,Μακεδονία,21.8,40.5,660
LG9H,Πύλος,9,Πελοπόννησος,21.7,36.9,16
LG8A,Πυράθι Ηρακλείου,1,Κρήτη,25.2,35.1,311
LG59,Πύργος,9,Πελοπόννησος,21.4,37.7,22
LGZ0,Ραφήνα,10,Αττική,24.010833333333334,38.01555555555556,25
LG58,Ρέθυμνο,1,Κρήτη,24.4,35.4,20
LG4I,Ρέθυμνο - Πόλη,1,Κρήτη,24.48888888888889,35.361111111111114,50
LGO4,Ριζώματα Ημαθίας,5,Μακεδονία,22.2,40.3,650
LGH8,Ρίο,9,Πελοπόννησος,21.8,38.3,2
LGS9,Ρόδος,12,Δωδεκάνησα,28.2,36.4,95
LGT9,Ρωμανός Πατρών,9,Πελοπόννησος,21.7875,38.22833333333333,237
LG5G,Σαλαμίνα,10,Αττική,23.3,37.6,5
LGB4,Σαμαριά (Δρυμός),1,Κρήτη,23.9,35.3,1250
LGY1,Σαμαριά (Φαράγγι),1,Κρήτη,24.0,35.3,349
LGC1,Σαμοθράκη,3,Βόρειο & Ανατολικό Αιγαίο,25.50138888888889,40.463055555555556,90
LGF1,Σάμος (Καρλόβασι),3,Βόρειο & Ανατολικό Αιγαίο,26.681944444444447,37.79361111111111,25
LGX5,Σαντορίνη,13,Κυκλάδες,25.4,36.4,183
LG87,Σέλι,5,Μακεδονία,22.0,40.6,1520
LG9D,Σέμπρωνας Χανίων,1,Κρήτη,23.8,35.4,640
LGW6,Σέρρες,5,Μακεδονία,23.5,41.1,32
LGT7,Σέττα Ευβοίας,15,Εύβοια,23.919722222222223,38.535555555555554,925
LGM2,Σητεία,1,Κρήτη,26.1,35.2,30
LG1E,Σιμωνόπετρα,5,Μακεδονία,24.2,40.2,278
LG8C,Σίνδος,11,Θεσσαλονίκη,22.8,40.7,6
LG2P,Σίφνος,13,Κυκλάδες,24.7,37.0,5
LG7G,ΣΚΑ,10,Αττική,23.7,38.1,149
LG24,Σκιάθος,14,Σποράδες,23.3,39.2,20
LG5R,Σκιάθος - Ξάνεμος,14,Σποράδες,23.50777777777778,39.18333333333333,25
LG2M,Σκόπελος - Γλώσσα,14,Σποράδες,23.618333333333332,39.17444444444444,199
LGI1,Σκύρος,14,Σποράδες,24.5,38.8,23
LG3P,Σούνιο,10,Αττική,24.0,37.7,32
LGF7,Σπάρτη,9,Πελοπόννησος,22.4,37.1,204
LGG2,Σπάτα Αττικής,10,Αττική,23.909166666666664,37.98277777777778,120
LGS6,Σπέτσες,10,Αττική,23.2,37.3,3
LG75,Σπήλι Ρεθύμνου,1,Κρήτη,24.3,35.1,405
LG1N,Σταλός Χανίων,1,Κρήτη,23.9,35.5,93
LG8B,Σταυράκια Ηρακλείου,1,Κρήτη,25.0625,35.25333333333333,245
LGS2,Στεμνίτσα Αρκαδίας,9,Πελοπόννησος,22.1,37.6,1094
LG81,Στενή Ευβοίας,15,Εύβοια,23.8,38.6,430
LG9O,Στεφάνη Βοιωτίας,8,Στερεά Ελλάδα,23.5,38.2,573
LGC4,Στύρα Ευβοίας,15,Εύβοια,24.2,38.2,12
LG3N,Στύψη Λέσβου,3,Βόρειο & Ανατολικό Αιγαίο,26.2,39.3,355
LGW4,Σφακιά,1,Κρήτη,24.1,35.2,770
LGX7,Σχοινούσα,13,Κυκλάδες,25.5,36.9,72
